date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-02-23 13:00:00,-1.8222222222222213,68.3111111111111,4.286666666666666,280.0,497.5,555.0,177.5
2018-02-23 14:00:00,-0.9428571428571428,63.64428571428573,4.226428571428572,266.42857142857144,606.5,898.0,102.5
2018-02-23 15:00:00,-0.9636363636363636,63.44636363636364,4.630000000000001,264.54545454545456,534.0,869.0,98.0
2018-02-23 16:00:00,-0.76,62.523,4.886,268.0,406.5,800.5,86.5
2018-02-23 17:00:00,-0.96,63.66099999999999,4.783,265.0,243.5,675.0,65.5
2018-02-23 18:00:00,-1.4727272727272729,66.14999999999999,4.629999999999999,247.27272727272728,75.0,356.5,34.5
2018-02-23 19:00:00,-2.8454545454545457,72.92727272727274,2.852727272727273,230.9090909090909,0.0,0.0,0.0
2018-02-23 20:00:00,-4.111111111111111,75.4122222222222,3.5455555555555565,248.88888888888889,0.0,0.0,0.0
2018-02-23 21:00:00,-5.9750000000000005,80.50083333333333,3.173333333333334,263.3333333333333,0.0,0.0,0.0
2018-02-23 22:00:00,-7.066666666666666,82.22500000000002,2.4433333333333334,248.3333333333333,0.0,0.0,0.0
2018-02-23 23:00:00,-8.488888888888889,82.01111111111109,2.6877777777777787,296.6666666666667,0.0,0.0,0.0
2018-02-24 00:00:00,-9.575,82.34375,2.83,312.5,0.0,0.0,0.0
2018-02-24 01:00:00,-11.32,86.387,0.514,99.0,0.0,0.0,0.0
2018-02-24 02:00:00,-13.308333333333335,86.42416666666666,1.03,166.66666666666666,0.0,0.0,0.0
2018-02-24 03:00:00,-13.646153846153847,85.56923076923077,0.6723076923076923,80.0,0.0,0.0,0.0
2018-02-24 04:00:00,-15.1,85.21000000000002,0.42,43.63636363636363,0.0,0.0,0.0
2018-02-24 05:00:00,-14.575,82.77916666666667,0.0,0.0,0.0,0.0,0.0
2018-02-24 06:00:00,-14.05,84.98500000000001,0.12833333333333333,0.8333333333333334,0.0,0.0,0.0
2018-02-24 07:00:00,-13.525,83.8225,0.385,46.66666666666666,0.0,0.0,0.0
2018-02-24 08:00:00,-13.0,84.87181818181818,0.14,30.0,21.0,65.0,17.0
2018-02-24 09:00:00,-12.3,87.21500000000002,1.6535714285714287,42.857142857142854,129.5,291.0,68.5
2018-02-24 10:00:00,-9.02,85.975,2.366,66.0,267.5,435.0,112.5
2018-02-24 11:00:00,-7.427272727272728,84.52909090909094,0.9345454545454548,27.272727272727273,359.0,401.0,171.5
2018-02-24 12:00:00,-5.127272727272726,76.38545454545455,2.3390909090909093,28.181818181818183,338.0,241.0,207.0
2018-02-24 13:00:00,-3.9909090909090894,73.19999999999997,2.9009090909090904,48.18181818181818,400.5,310.0,220.5
2018-02-24 14:00:00,-3.027272727272727,69.38727272727274,3.088181818181818,71.81818181818181,415.0,331.5,228.0
2018-02-24 15:00:00,-3.1,76.45733333333334,3.774,62.66666666666666,295.0,209.0,188.5
2018-02-24 16:00:00,-3.0692307692307685,83.22153846153846,3.720769230769232,53.84615384615386,222.0,169.5,152.0
2018-02-24 17:00:00,-3.027272727272727,92.72454545454544,4.022727272727273,29.09090909090909,110.0,97.5,83.5
2018-02-24 18:00:00,-3.027272727272727,92.72454545454544,2.8536363636363635,51.81818181818182,37.0,37.5,32.5
